Date,Product Category,Units Sold,Revenue
2024-01-15,Cloud Services,150,45000
2024-01-20,Hardware,45,22500
2024-02-10,Software Licenses,200,30000
2024-02-25,Cloud Services,180,54000
2024-03-05,Professional Services,60,15000
2024-03-22,Hardware,30,15000
2024-04-12,Cloud Services,210,63000
2024-04-28,Software Licenses,220,33000
2024-05-15,Cloud Services,250,75000
2024-05-30,Hardware,55,27500
2024-06-10,Professional Services,80,20000
2024-06-25,Software Licenses,240,36000
2024-07-14,Cloud Services,280,84000
2024-07-28,Hardware,40,20000
2024-08-10,Software Licenses,210,31500
2024-08-25,Cloud Services,310,93000
2024-09-05,Professional Services,95,23750
2024-09-20,Hardware,60,30000
2024-10-12,Cloud Services,330,99000
2024-10-28,Software Licenses,250,37500
2024-11-15,Cloud Services,350,105000
2024-11-30,Hardware,70,35000
2024-12-10,Professional Services,110,27500
2024-12-25,Software Licenses,270,40500
